STAID,STATE,FIPS,LAT_DMS , LON_DMS,WELLDPTH  ,SAMPDATE ,SAMPTIME,AS_RMRK,AS_CONC,LAT_DD,LON_DD
16S,2S,6N,6S,7S,10N,9S,5S,1S,10N,12N,12N
4.1375E+14,MA,25001,413750,703235,107,12-May-88,1245,<,1,41.63055,70.54305
4.1375E+14,MA,25001,413750,703235,140,12-May-88,1130,.,2,41.63055,70.54305
4.1375E+14,MA,25001,413750,703235,169,12-May-88,1045,<,1,41.63055,70.54305
4.1375E+14,MA,25001,413750,703235,217,12-May-88,945,.,2,41.63055,70.54305
4.1373E+14,MA,25001,413730,703246,35.6,9-May-88,1730,<,1,41.625,70.54611
4.1373E+14,MA,25001,413730,703246,54.3,9-May-88,1645,<,1,41.625,70.54611
4.1373E+14,MA,25001,413730,703246,65.4,9-May-88,1600,<,1,41.625,70.54611
4.1373E+14,MA,25001,413730,703246,81.2,9-May-88,1515,<,1,41.625,70.54611
4.1373E+14,MA,25001,413730,703246,94.2,9-May-88,1430,<,1,41.625,70.54611
4.1373E+14,MA,25001,413730,703246,106,9-May-88,1345,.,1,41.625,70.54611
4.1373E+14,MA,25001,413730,703246,122,9-May-88,1145,.,5,41.625,70.54611
4.13646E+14,MA,25001,413646,703306,12.7,6-May-88,1415,<,1,41.61278,70.55167
4.13646E+14,MA,25001,413646,703306,51.6,6-May-88,1330,<,1,41.61278,70.55167
4.13646E+14,MA,25001,413646,703306,64.4,6-May-88,1245,<,1,41.61278,70.55167
4.13646E+14,MA,25001,413646,703306,83.8,6-May-88,1045,<,1,41.61278,70.55167
4.13646E+14,MA,25001,413646,703306,110,6-May-88,945,<,1,41.61278,70.55167
4.13646E+14,MA,25001,413646,703306,,6-May-88,1130,<,1,41.61278,70.55167
4.14649E+14,MA,25023,414649,703536,79,29-Aug-90,1845,<,1,41.78028,70.59333
4.14645E+14,MA,25023,414645,703536,40,1-Feb-91,1230,<,1,41.77917,70.59333
4.14648E+14,MA,25023,414648,703542,,24-Mar-93,1800,<,1,41.77999,70.595
4.13625E+14,MA,25001,413625,703555,19,21-Apr-83,700,.,1,41.60695,70.59861
4.14653E+14,MA,25023,414653,703559,72.1,29-Aug-90,1600,.,1,41.78139,70.59972
4.14649E+14,MA,25023,414649,703560,53,19-Nov-93,1000,<,1,41.78028,70.6
4.14654E+14,MA,25023,414654,703560,57,22-Nov-93,1200,<,1,41.78166,70.6
4.13624E+14,MA,25001,413624,703602,21,18-Dec-80,1450,.,1,41.60667,70.60056
4.1465E+14,MA,25023,414650,703602,43.1,19-Nov-93,1211,<,1,41.78055,70.60056
4.1465E+14,MA,25023,414650,703603,50.5,22-Nov-93,1010,<,1,41.78055,70.60083
4.13629E+14,MA,25001,413629,703605,15,20-Apr-83,1345,.,19,41.60805,70.60139
4.14626E+14,MA,25023,414626,703811,113,29-Aug-90,1200,<,1,41.77389,70.63639
4.1463E+14,MA,25023,414630,703812,102,29-Aug-90,1300,.,5,41.775,70.63667
4.14626E+14,MA,25023,414626,703814,37,31-Jan-91,1215,<,1,41.77389,70.63722
4.14629E+14,MA,25023,414629,703815,37.4,31-Jan-91,1250,<,1,41.77473,70.6375
4.14618E+14,MA,25023,414618,703831,47.7,30-Jan-91,1545,<,1,41.77167,70.64194
4.14611E+14,MA,25023,414611,703831,42,31-Jan-91,1140,<,1,41.76972,70.64194
4.14622E+14,MA,25023,414622,703832,67.9,30-Jan-91,1345,<,1,41.77278,70.64222
4.14616E+14,MA,25023,414616,703833,110,29-Aug-90,1000,<,1,41.77111,70.6425
4.20423E+14,MA,25023,420423,704111,61,30-Jun-87,900,<,1,42.07305,70.68639
4.20314E+14,MA,25023,420314,704141,55,15-Aug-86,1315,<,1,42.05389,70.69473
4.20149E+14,MA,25023,420149,704216,55,15-Aug-86,1145,<,1,42.03028,70.70444
4.20723E+14,MA,25023,420723,704231,57,6-Jul-87,900,<,1,42.12305,70.70861
4.15748E+14,MA,25023,415748,704334,58,2-Jun-87,1400,<,1,41.96333,70.72611
4.20029E+14,MA,25023,420029,704407,49,14-Aug-86,1100,<,1,42.00806,70.73528
4.20652E+14,MA,25023,420652,704416,124,30-Jun-87,1030,<,1,42.11444,70.73778
4.15809E+14,MA,25023,415809,704434,52.2,2-Jun-87,1200,<,1,41.96917,70.74277
4.1591E+14,MA,25023,415910,704457,69,7-Aug-86,1015,<,1,41.98611,70.74917
4.15744E+14,MA,25023,415744,704526,48.4,5-Aug-86,1345,.,4,41.96223,70.75723
4.2021E+14,MA,25023,420210,704536,46,15-Aug-86,915,<,1,42.03611,70.76
4.20713E+14,MA,25023,420713,704539,,6-Jul-87,1115,<,1,42.12028,70.76083
4.15925E+14,MA,25023,415925,704541,32.2,8-Sep-86,1030,<,1,41.99028,70.76139
4.15939E+14,MA,25023,415939,704611,77,2-Jun-87,1000,<,1,41.99417,70.76972
4.15958E+14,MA,25023,415958,704654,62,1-Jun-87,1130,.,8,41.99945,70.78167
4.25953E+14,NH,33015,425953,704717,49,20-Aug-87,1130,<,1,42.99805,70.78806
4.30326E+14,NH,33015,430326,704753,63,17-Aug-87,1300,<,1,43.05722,70.79806
4.20315E+14,MA,25023,420315,704842,63,26-May-87,930,<,1,42.05416,70.81167
4.25631E+14,NH,33015,425630,704856,54,18-Aug-87,1230,<,1,42.94167,70.81555
4.30431E+14,NH,33015,430434,704913,60,3-Sep-87,1140,<,1,43.07611,70.82027
4.20635E+14,MA,25023,420635,704941,56,29-Jun-87,1200,<,1,42.10972,70.82806
4.30203E+14,NH,33015,430203,704944,39,3-Sep-87,1400,<,1,43.03417,70.82889
4.31111E+14,NH,33017,431139,704957,14.4,21-Aug-81,1120,.,3,43.19417,70.8325
4.20758E+14,MA,25023,420758,705001,50,5-Aug-86,930,.,1,42.13278,70.83361
4.20806E+14,MA,25023,420806,705003,67,29-Jun-87,1015,<,1,42.13499,70.83417
4.30548E+14,NH,33015,430548,705017,29,17-Aug-87,1600,<,1,43.09667,70.83806
4.25909E+14,NH,33015,425909,705021,59,20-Aug-87,1500,.,4,42.98583,70.83916
4.31351E+14,NH,33017,431351,705037,10.6,2-Sep-82,1415,.,1,43.23083,70.84361
4.2595E+14,NH,33015,430001,705143,46,18-Aug-87,1430,.,5,43.00027,70.86195
4.30959E+14,NH,33017,430959,705202,72,26-Aug-87,1500,<,1,43.16639,70.86723
4.31159E+14,NH,33017,431159,705304,32.5,26-Aug-87,1700,.,1,43.19972,70.88445
4.31303E+14,NH,33017,431303,705321,85,13-Aug-87,1250,.,2,43.2175,70.88917
4.31437E+14,NH,33017,431437,705359,23.9,21-Aug-81,1205,.,1,43.24361,70.89972
4.30954E+14,NH,33017,430954,705405,69.5,26-Nov-85,1430,<,1,43.165,70.90139
4.31651E+14,NH,33017,431651,705407,74,13-Aug-87,1115,<,1,43.28084,70.90195
4.25342E+14,NH,33015,425337,705447,54,19-Aug-87,1100,<,1,42.89362,70.91306
4.31003E+14,NH,33017,431003,705455,72.1,26-Nov-85,1030,<,1,43.1675,70.91528
4.25406E+14,NH,33015,425406,705504,38.6,19-Aug-87,1330,.,2,42.90167,70.91778
4.25438E+14,NH,33015,425438,705535,24,19-Aug-87,1600,.,4,42.91056,70.92639
4.31352E+14,NH,33017,431352,705615,19,1-Sep-81,1320,.,1,43.23111,70.9375
4.31156E+14,NH,33017,431156,705627,43,19-Mar-87,1500,.,3,43.19889,70.94083
4.30428E+14,NH,33015,430427,705642,52.2,4-Dec-85,1600,<,1,43.07417,70.945
4.31736E+14,NH,33017,431736,705723,18,2-Sep-82,1330,.,1,43.29333,70.95639
4.30443E+14,NH,33015,430444,705801,,27-Nov-85,1435,<,1,43.07889,70.96694
4.3045E+14,NH,33015,430449,705807,54,4-Dec-85,1200,.,7,43.08028,70.96861
4.32815E+14,NH,33017,432815,705818,23,25-Aug-87,1530,<,1,43.47084,70.97166
4.32009E+14,NH,33017,432009,705826,17.5,26-Aug-87,830,.,10,43.33583,70.97389
4.30504E+14,NH,33017,430505,705829,53.5,27-Nov-85,1045,.,1,43.08472,70.97472
4.3171E+14,NH,33017,431710,705831,69,26-Aug-87,1000,<,1,43.28611,70.97528
4.32545E+14,NH,33017,432545,705839,43,25-Mar-87,1400,<,1,43.42916,70.9775
4.30429E+14,NH,33015,430429,705905,24.6,27-Nov-85,1345,<,1,43.07472,70.98473
4.31753E+14,NH,33017,431753,705914,60,25-Mar-87,1600,<,1,43.29805,70.98722
4.33547E+14,NH,33003,433553,705947,48.5,8-Sep-87,1445,.,7,43.59806,70.99639
4.31439E+14,NH,33017,431439,705958,30,26-Aug-87,1130,<,1,43.24417,70.99944
4.3025E+14,NH,33015,430247,705960,,3-Dec-85,1400,.,2,43.04639,71
4.3162E+14,NH,33017,431605,710001,42,30-Mar-87,1100,.,20,43.26805,71.00027
4.30239E+14,NH,33015,430239,710009,52,3-Dec-85,1300,.,14,43.04417,71.0025
4.30304E+14,NH,33015,430304,710012,42,29-Nov-85,1445,.,2,43.05111,71.00333
4.3201E+14,NH,33017,432010,710014,28,21-Aug-81,1345,.,1,43.33612,71.00389
4.31245E+14,NH,33017,431245,710040,23,19-Mar-87,1130,<,1,43.2125,71.01111
4.41004E+14,NH,33003,441004,710040,59,3-Sep-92,1700,<,1,44.16778,71.01111
4.30015E+14,NH,33015,430015,710042,40,3-Dec-85,1000,<,1,43.00417,71.01167
4.32904E+14,NH,33017,432904,710042,12.5,25-Aug-87,1630,<,1,43.48444,71.01167
4.31704E+14,NH,33017,431704,710043,32.6,1-Sep-81,1220,.,30,43.28445,71.01195
4.30024E+14,NH,33015,430023,710044,32,2-Dec-85,1400,<,1,43.00639,71.01222
4.30721E+14,NH,33017,430720,710050,32.8,9-Nov-84,1745,.,1,43.12222,71.01389
4.41357E+14,NH,33003,441357,710050,60,3-Sep-92,1430,<,1,44.2325,71.01389
4.41452E+14,NH,33003,441452,710051,30,3-Sep-92,1230,<,1,44.24778,71.01417
4.40423E+14,NH,33003,440423,710100,69,4-Sep-92,1115,<,1,44.07306,71.01667
4.30409E+14,NH,33015,430409,710101,37,11-Dec-85,1530,.,3,43.06917,71.01694
4.4043E+14,NH,33003,440430,710111,19,4-Sep-92,1015,<,1,44.075,71.01972
4.3024E+14,NH,33015,430241,710128,32,29-Nov-85,1145,<,1,43.04473,71.02444
4.33208E+14,NH,33003,433208,710150,43,25-Mar-87,1000,<,1,43.53556,71.03056
4.25437E+14,NH,33015,425437,710223,30,9-Apr-87,1045,<,1,42.91027,71.03972
4.32222E+14,NH,33017,432222,710245,,2-Sep-82,1150,.,2,43.37277,71.04583
4.25418E+14,NH,33015,425418,710248,63,2-Sep-87,1030,.,1,42.905,71.04667
